topic,count,score
anxiety,5,0.14705882352941177
Suicide,1,0.029411764705882353
lockdown,1,0.029411764705882353
fatigue,1,0.029411764705882353
love,2,0.058823529411764705
Sad,1,0.029411764705882353
pain,23,0.6764705882352942
