topic,count,score
anxiety,6,0.21428571428571427
Suicide,1,0.03571428571428571
lockdown,1,0.03571428571428571
fatigue,1,0.03571428571428571
love,4,0.14285714285714285
Sad,2,0.07142857142857142
pain,13,0.4642857142857143
