topic,count,score
anxiety,4,0.14814814814814814
Suicide,0,0.0
lockdown,1,0.037037037037037035
fatigue,2,0.07407407407407407
love,4,0.14814814814814814
Sad,1,0.037037037037037035
pain,15,0.5555555555555556
